3  #sample 3-d input  
590  #number of points
-0.003125 0.016927 -0.999852
-0.003125 0.016927 -0.999852
-0.381581 -0.921517 -0.072122
-0.518780 -0.832386 0.194938
0.507841 -0.838398 0.197955
0.371084 -0.925849 -0.071417
-0.005605 -0.980234 -0.197762
-0.006139 -0.997854 -0.065189
-0.005605 -0.980234 -0.197762
-0.006139 -0.997854 -0.065189
-0.003409 -0.511418 -0.859325
-0.003409 -0.511418 -0.859325
-0.003130 -0.201512 -0.979481
-0.003130 -0.201512 -0.979481
-0.880714 -0.351228 0.317777
-0.581796 -0.564129 0.585895
-0.536745 -0.567807 0.624099
-0.880714 -0.351228 0.317777
0.522483 -0.572800 0.631595
0.568681 -0.569450 0.593573
0.876231 -0.355829 0.324970
0.876231 -0.355829 0.324970
-0.556773 -0.660873 0.503240
-0.556773 -0.660873 0.503240
0.543926 -0.666657 0.509620
0.543926 -0.666657 0.509620
-0.550317 -0.729680 0.405855
-0.535251 -0.805944 0.252905
0.524102 -0.812098 0.256540
0.538179 -0.735766 0.411111
-0.428509 -0.903288 0.021254
-0.431755 -0.900885 0.044648
0.420877 -0.905943 0.046146
0.417774 -0.908270 0.022597
-0.219118 -0.975588 -0.014659
0.206981 -0.978244 -0.014094
-0.165359 -0.973198 -0.159820
-0.319600 -0.927236 -0.195163
-0.176474 -0.973693 -0.144146
-0.359554 -0.924447 -0.126956
0.349273 -0.928437 -0.126546
0.309509 -0.930674 -0.195064
0.165182 -0.975696 -0.143986
0.154148 -0.975056 -0.159702
-0.365161 -0.926874 -0.086964
0.354629 -0.931010 -0.086361
-0.314189 -0.943143 -0.108474
0.303407 -0.946716 -0.108043
-0.177644 -0.980963 -0.078454
0.165831 -0.983053 -0.078148
-0.005804 -0.989049 -0.147475
-0.006160 -0.998165 -0.060236
-0.006160 -0.998165 -0.060236
-0.005804 -0.989049 -0.147475
-0.005667 -0.983284 -0.181988
-0.005667 -0.983284 -0.181988
-0.006081 -0.996825 -0.079393
-0.006081 -0.996825 -0.079393
-0.982365 -0.125466 0.138628
0.981426 -0.127112 0.143683
-0.988066 0.117752 -0.099301
0.988023 0.119411 -0.097729
-0.918538 0.394474 -0.026051
0.916388 0.399595 -0.023606
-0.855902 0.513573 0.060627
0.851758 0.520005 0.064055
-0.660624 0.728275 0.182185
0.651271 0.735652 0.186177
-0.413883 0.889744 0.192501
0.400317 0.895375 0.195064
-0.226826 0.930245 0.288434
0.210541 0.933520 0.290193
-0.125778 0.831194 0.541569
0.106589 0.832883 0.543089
-0.010088 0.782621 0.622416
-0.010088 0.782621 0.622416
-0.484086 0.309084 0.818613
-0.445745 0.269723 0.853558
-0.397998 0.400679 0.825260
-0.454357 0.424194 0.783339
0.378888 0.403646 0.832775
0.427214 0.272001 0.862267
0.466497 0.311891 0.827711
0.436491 0.427752 0.791520
-0.391470 0.539883 0.745170
-0.428367 0.546783 0.719395
0.372908 0.543721 0.751869
0.410580 0.551019 0.726500
-0.420080 0.643040 0.640338
-0.472204 0.623630 0.622984
0.402821 0.647812 0.646587
0.455927 0.628823 0.629851
-0.561749 0.194031 0.804232
-0.523586 0.155998 0.837570
0.506675 0.157577 0.847614
0.545857 0.196104 0.814606
-0.774415 0.091963 0.625959
-0.767146 0.042595 0.640057
0.757492 0.043283 0.651408
0.765025 0.093317 0.637203
-0.861314 0.138281 0.488893
-0.867712 0.104827 0.485888
0.861796 0.106465 0.495957
0.855182 0.140389 0.498953
-0.902561 0.271615 0.334080
-0.919641 0.235429 0.314379
0.916075 0.238958 0.322033
0.898395 0.275625 0.341933
-0.879700 0.369470 0.299366
-0.888271 0.362423 0.282177
0.883930 0.367565 0.289074
0.875031 0.374692 0.306475
-0.838831 0.452390 0.302829
-0.846228 0.451681 0.282635
0.840708 0.457774 0.289230
0.833003 0.458483 0.309678
-0.695862 0.569948 0.436961
-0.693007 0.567676 0.444393
0.682590 0.574290 0.451953
0.685564 0.576599 0.444450
-0.599171 0.633119 0.490055
-0.585024 0.656681 0.475938
0.572008 0.663188 0.482688
0.586340 0.639576 0.497140
-0.524633 0.646983 0.553329
-0.500370 0.674896 0.542352
0.485234 0.680717 0.548791
0.509848 0.652860 0.560204
-0.326692 0.713882 0.619390
-0.448475 0.742335 0.497804
0.432846 0.747982 0.503157
0.308364 0.717945 0.624072
-0.554810 0.714499 0.426236
0.541585 0.721101 0.432086
-0.693991 0.622267 0.362160
0.684151 0.629329 0.368622
-0.861202 0.462321 0.211163
0.856455 0.468502 0.216773
-0.915336 0.351862 0.195840
0.912165 0.356845 0.201537
-0.947051 0.211908 0.241227
0.944618 0.215103 0.247844
-0.901903 0.037480 0.430309
0.897309 0.038163 0.439750
-0.788384 -0.049869 0.613159
0.779532 -0.050418 0.624330
-0.501058 0.134090 0.854962
0.483586 0.135404 0.864760
-0.410304 0.248748 0.877368
0.391010 0.250692 0.885587
-0.285366 0.579221 0.763590
0.265317 0.582201 0.768536
-0.326082 0.407233 0.853130
0.305752 0.409704 0.859452
-0.006615 -0.998870 0.047069
-0.006920 -0.993130 0.116810
-0.007173 -0.984849 0.173265
-0.121918 -0.972507 0.198407
0.107520 -0.974067 0.199081
-0.112392 -0.985084 0.130301
0.098578 -0.986495 0.130806
-0.057239 -0.994759 0.084728
0.043714 -0.995427 0.084934
-0.006762 -0.996705 0.080824
-0.072813 -0.994077 0.080681
-0.006721 -0.997419 0.071493
0.059346 -0.994950 0.080947
-0.136082 -0.983629 0.118132
0.122448 -0.985348 0.118727
-0.144155 -0.964522 0.221172
0.129627 -0.966385 0.222029
-0.007255 -0.981489 0.191382
-0.369167 -0.614172 0.697502
-0.293725 -0.322059 0.900002
0.273238 -0.323703 0.905846
0.351749 -0.617929 0.703162
-0.370085 -0.707348 0.602243
-0.550317 -0.729680 0.405855
0.538179 -0.735766 0.411111
0.353634 -0.711548 0.607159
-0.364275 -0.824677 0.432679
-0.535251 -0.805944 0.252905
0.524102 -0.812098 0.256540
0.349374 -0.829211 0.436287
-0.144268 -0.848415 0.509293
-0.190049 -0.689898 0.698515
0.171031 -0.692005 0.701340
0.126981 -0.850232 0.510863
-0.284112 -0.582769 0.761355
0.265123 -0.585539 0.766064
-0.254014 -0.445936 0.858265
0.233673 -0.447875 0.863021
-0.010906 -0.439243 0.898302
-0.011656 0.030512 0.999466
-0.171942 -0.604310 0.777975
-0.010022 -0.667291 0.744729
-0.010630 -0.523554 0.851926
-0.234475 -0.552028 0.800179
0.151955 -0.606010 0.780808
0.214643 -0.554199 0.804233
-0.218231 -0.436673 0.872750
-0.116549 -0.426450 0.896971
0.094933 -0.427263 0.899130
0.197445 -0.438298 0.876875
-0.287745 -0.560255 0.776735
-0.202765 -0.647311 0.734762
0.268623 -0.562967 0.781607
0.183434 -0.649452 0.737946
-0.263758 -0.398384 0.878477
0.243261 -0.400195 0.883554
-0.103849 -0.389794 0.915028
0.081968 -0.390449 0.916968
-0.010681 -0.509127 0.860625
-0.009748 -0.719374 0.694554
-0.009578 -0.748767 0.662764
-0.010681 -0.509127 0.860625
-0.010551 -0.544852 0.838466
-0.010906 -0.439243 0.898302
-0.010551 -0.544852 0.838466
-0.010681 -0.509127 0.860625
-0.010906 -0.439243 0.898302
-0.159144 -0.956242 0.245509
-0.007575 -0.965359 0.260815
0.144452 -0.958311 0.246521
-0.008824 -0.855496 0.517735
-0.316307 -0.933541 0.168673
-0.295539 -0.952732 0.070418
0.283188 -0.956392 0.071542
0.303294 -0.937547 0.170351
-0.240307 -0.970697 0.000640
0.228163 -0.973622 0.001311
-0.169993 -0.985445 0.000364
0.157499 -0.987519 0.000832
-0.006437 -0.999963 0.005725
-0.011368 0.420395 0.907270
-0.010775 0.635909 0.771689
-0.198969 0.710745 0.674724
0.178958 0.713191 0.677741
-0.819581 -0.174757 0.545663
0.812075 -0.177019 0.556057
-0.969414 0.015869 0.244917
0.967669 0.016238 0.251699
-0.972852 0.204680 0.108008
0.971692 0.207695 0.112598
-0.913794 0.392211 0.105604
0.910971 0.397558 0.109910
-0.871869 0.451587 0.189511
0.867518 0.457650 0.194860
-0.627200 0.698020 0.345526
0.616012 0.705131 0.351169
-0.444044 0.815648 0.370869
0.429407 0.821546 0.375062
-0.311341 0.838558 0.447087
0.294372 0.842873 0.450456
-0.010088 0.782621 0.622416
-0.125778 0.831194 0.541569
0.106589 0.832883 0.543089
-0.226826 0.930245 0.288434
0.210541 0.933520 0.290193
-0.413883 0.889744 0.192501
0.400317 0.895375 0.195064
-0.660624 0.728275 0.182185
0.651271 0.735652 0.186177
-0.855902 0.513573 0.060627
0.851758 0.520005 0.064055
-0.918538 0.394474 -0.026051
0.916388 0.399595 -0.023606
-0.988066 0.117752 -0.099301
0.988023 0.119411 -0.097729
-0.982365 -0.125466 0.138628
0.981426 -0.127112 0.143683
-0.431755 -0.900885 0.044648
0.420877 -0.905943 0.046146
-0.365161 -0.926874 -0.086964
0.354629 -0.931010 -0.086361
-0.314189 -0.943143 -0.108474
0.303407 -0.946716 -0.108043
-0.177644 -0.980963 -0.078454
0.165831 -0.983053 -0.078148
-0.006160 -0.998165 -0.060236
-0.810255 0.335145 0.480795
-0.803541 0.216732 0.554391
0.795352 0.219816 0.564886
0.802658 0.339792 0.490185
-0.710724 0.179084 0.680294
0.699241 0.181439 0.691478
-0.586340 0.256241 0.768470
0.571220 0.259047 0.778847
-0.514649 0.414985 0.750283
0.498143 0.418907 0.759191
-0.533744 0.542650 0.648574
0.518387 0.547813 0.656640
-0.631930 0.554429 0.541547
0.619429 0.560496 0.549684
-0.744548 0.472633 0.471452
0.735231 0.478610 0.479966
-0.899307 0.311172 0.307278
-0.787019 0.535091 0.307049
0.779795 0.541856 0.313549
0.895168 0.315692 0.314663
-0.944730 0.296561 0.139771
-0.808163 0.573064 0.135904
0.802439 0.580046 0.140139
0.942635 0.300815 0.144739
-0.583269 0.771129 0.255259
-0.601358 0.686110 0.409415
0.589172 0.692953 0.415563
0.571876 0.778203 0.259534
-0.410934 0.686740 0.599601
0.393882 0.691664 0.605358
-0.327351 0.809454 0.487469
0.310196 0.813895 0.491277
-0.217935 0.549966 0.806252
-0.340909 0.476697 0.810272
0.321115 0.479688 0.816569
0.196891 0.552123 0.810182
-0.501058 0.134090 0.854962
0.483586 0.135404 0.864760
-0.453231 0.061562 0.889265
0.434666 0.062151 0.898445
-0.753423 -0.017972 0.657290
-0.808857 -0.133841 0.572571
0.743320 -0.018087 0.668691
0.800869 -0.135539 0.583300
-0.897625 0.090509 0.431367
0.892881 0.091964 0.440802
-0.962165 0.025142 0.271304
0.960096 0.025649 0.278491
